Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step
4.1805769,-0.0018133114,22.899466,0,-0.007,0
3.7807653,-4.5088277,22.906468,-4.513,1.666,2.469
4.2813033,1.4988251,22.95149,1.507,4.996,7.172
4.2995856,1.4599273,23.001865,1.456,4.996,11.672
4.2929932,1.2304106,23.037723,1.227,4.883,17.656
4.2828698,1.046717,23.059766,1.039,4.786,22.609
4.2729311,0.88059649,23.083978,0.876,4.699,27.625
4.262797,0.73926643,23.084461,0.736,4.619,32.609
4.2535859,0.62212184,23.092013,0.617,4.554,37.625
4.2450944,0.5104383,23.090965,0.508,4.494,42.687
4.2373516,0.42241874,23.098832,0.421,4.446,47.625
4.2315512,0.3528846,23.100684,0.352,4.408,52.641
4.2261982,0.30070481,23.096001,0.294,4.376,57.594
4.2215179,0.25143673,23.086725,0.247,4.349,62.609
4.2176562,0.21421952,23.087341,0.208,4.327,67.562
4.2138175,0.17295401,23.078531,0.171,4.305,72.562
4.2107464,0.14557339,23.074564,0.142,4.289,77.516
4.208611,0.12540893,23.073522,0.124,4.278,82.531
4.2067004,0.1092602,23.075435,0.106,4.268,87.469
4.2044318,0.09147767,23.071153,0.087,4.257,92.469
4.2032447,0.079740895,23.073349,0.079,4.251,97.422
4.2009977,0.064402005,23.072327,0.059,4.241,102.359
4.2004222,0.063730566,23.065808,0.061,4.241,107.312
4.200288,0.064172036,23.068781,0.061,4.241,112.234
4.2002762,0.0672233,23.066707,0.062,4.241,117.219
4.1998759,0.063740035,23.05572,0.062,4.241,122.125
4.1999721,0.066101843,23.069151,0.062,4.241,127.109
4.1996179,0.065328692,23.066202,0.062,4.241,132.016
4.1997255,0.067441354,23.069457,0.064,4.241,136.969
4.1995182,0.064818767,23.064453,0.064,4.241,141.906
4.1992318,0.066896201,23.066827,0.064,4.241,146.875
4.1992412,0.067993678,23.073352,0.064,4.241,151.797
4.1991341,0.066333667,23.061036,0.064,4.241,156.703
4.199003,0.067870974,23.059398,0.064,4.241,161.656
4.1986351,0.065009664,23.065911,0.064,4.241,166.609
4.1989624,0.065698577,23.066448,0.065,4.241,171.578
4.1986805,0.066535256,23.066409,0.064,4.235,176.484
4.1987172,0.064664484,23.066033,0.065,4.241,181.469
4.1978409,0.057210099,23.060703,0.054,4.235,186.391
4.1977321,0.054841047,23.067873,0.054,4.235,191.359
4.1976317,0.05860781,23.067218,0.055,4.235,196.281
4.1967643,0.04793663,23.060273,0.046,4.23,201.187
4.1968252,0.046796225,23.06184,0.046,4.224,206.141
4.1966327,0.048211925,23.074341,0.046,4.224,211.062
4.196579,0.047064417,23.069956,0.046,4.23,216.031
4.1965438,0.047156419,23.067674,0.046,4.23,220.937
4.1973359,0.055991863,23.059423,0.055,4.23,225.953
4.1974078,0.056336769,23.067595,0.055,4.235,230.859
4.1973121,0.058067957,23.071998,0.055,4.23,235.828
4.1974205,0.056998294,23.073183,0.055,4.235,240.766
4.1976006,0.054437545,23.069375,0.055,4.235,245.656
4.1974812,0.056042421,23.067742,0.055,4.235,250.609
4.1976774,0.054524564,23.074968,0.055,4.235,255.531
4.19667,0.046098027,23.057999,0.046,4.23,260.516
4.1966958,0.049097185,23.058188,0.046,4.23,265.437
4.1964138,0.047377862,23.056832,0.046,4.23,270.344
4.1975199,0.057463266,23.062017,0.055,4.235,275.297
4.1973069,0.057762887,23.050458,0.055,4.235,280.219
4.1966532,0.045126517,23.045827,0.046,4.23,285.187
4.1955404,0.035764421,23.045423,0.036,4.224,290.172
4.1956538,0.039783492,23.045723,0.036,4.224,295.172
4.1956422,0.040336908,23.047099,0.036,4.224,300.203
4.1953735,0.038503276,23.057047,0.036,4.224,305.125
4.1963282,0.046999362,23.064122,0.046,4.23,310.094
4.1971464,0.055391782,23.0588,0.055,4.235,315.016
4.1974776,0.060126129,23.057983,0.055,4.235,319.922
4.1975926,0.055588826,23.061389,0.055,4.235,324.875
4.1975059,0.058455858,23.056599,0.055,4.235,329.797
4.1974962,0.055346255,23.060284,0.055,4.235,334.703
4.1976506,0.057254309,23.053159,0.055,4.235,339.656
4.196866,0.04657186,23.054856,0.046,4.23,344.578
4.1968641,0.049343146,23.060668,0.046,4.23,349.547
4.1966982,0.045196003,23.059559,0.046,4.23,354.469
4.196752,0.04678643,23.051571,0.046,4.23,359.375
4.1964637,0.04488186,23.05817,0.046,4.23,364.359
4.1975619,0.055873413,23.059218,0.055,4.235,369.281
4.1977128,0.055090796,23.065353,0.055,4.23,374.234
