Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step,Capacity,SOH
4.1906973,0.002029283,22.582384,0.0006,0,0,1.7315167,0.86575834
4.1904665,0.00036406569,22.578708,0.0004,4.206,9.391,1.7315167,0.86575834
3.9917658,-2.0068197,22.606986,1.9986,3.042,20.641,1.7315167,0.86575834
3.9747798,-2.0097768,22.678853,1.9986,3.038,31.125,1.7315167,0.86575834
3.9617144,-2.0052843,22.758807,1.9986,3.027,41.563,1.7315167,0.86575834
3.950802,-2.0091616,22.858386,1.9986,3.014,52.156,1.7315167,0.86575834
3.9411923,-2.007066,22.958229,1.9986,3.003,62.656,1.7315167,0.86575834
3.9326379,-2.0082931,23.056101,1.9986,2.995,73.078,1.7315167,0.86575834
3.9249538,-2.0086963,23.155748,1.9986,2.989,83.547,1.7315167,0.86575834
3.917686,-2.0079582,23.252529,1.9986,2.983,94.016,1.7315167,0.86575834
3.9108037,-2.0071352,23.350148,1.9986,2.978,104.516,1.7315167,0.86575834
3.9047159,-2.011778,23.440962,1.9986,2.973,114.985,1.7315167,0.86575834
3.8989241,-2.0093436,23.55499,1.9986,2.968,125.485,1.7315167,0.86575834
3.8936245,-2.0076601,23.637774,1.9986,2.964,135.953,1.7315167,0.86575834
3.8881442,-2.0092922,23.743025,1.9986,2.96,146.406,1.7315167,0.86575834
3.8831029,-2.008296,23.844783,1.9986,2.957,156.844,1.7315167,0.86575834
3.8782573,-2.0094421,23.940975,1.9984,2.954,167.313,1.7315167,0.86575834
3.8737896,-2.0070793,24.027044,1.9986,2.951,177.813,1.7315167,0.86575834
3.8690696,-2.0065455,24.137382,1.9986,2.947,188.297,1.7315167,0.86575834
3.8649598,-2.0073539,24.216551,1.9984,2.943,198.75,1.7315167,0.86575834
3.8607413,-2.0099522,24.315194,1.9986,2.94,209.203,1.7315167,0.86575834
3.8565068,-2.0091204,24.416142,1.9986,2.937,219.672,1.7315167,0.86575834
3.8527239,-2.0053827,24.505552,1.9984,2.934,230.188,1.7315167,0.86575834
3.8488716,-2.0080524,24.601816,1.9986,2.931,240.641,1.7315167,0.86575834
3.8450817,-2.0073702,24.702626,1.9986,2.928,251.094,1.7315167,0.86575834
3.8417001,-2.0101934,24.775128,1.9986,2.925,261.563,1.7315167,0.86575834
3.8380263,-2.0081719,24.869659,1.9986,2.921,272.047,1.7315167,0.86575834
3.8347836,-2.0084878,24.957335,1.9986,2.918,282.531,1.7315167,0.86575834
3.8310688,-2.0081205,25.051306,1.9986,2.916,292.969,1.7315167,0.86575834
3.8279847,-2.009103,25.124983,1.9986,2.913,303.375,1.7315167,0.86575834
3.8247757,-2.0086309,25.210651,1.9986,2.91,313.828,1.7315167,0.86575834
3.821751,-2.0057769,25.295352,1.9986,2.907,324.266,1.7315167,0.86575834
3.8185732,-2.0061081,25.386744,1.9986,2.905,334.703,1.7315167,0.86575834
3.8156778,-2.0100497,25.474697,1.9986,2.902,345.141,1.7315167,0.86575834
3.8129154,-2.0101699,25.554468,1.9986,2.9,355.625,1.7315167,0.86575834
3.8098251,-2.0061353,25.644943,1.9986,2.897,366.031,1.7315167,0.86575834
3.8066755,-2.0089785,25.729346,1.9986,2.895,376.485,1.7315167,0.86575834
3.8037912,-2.0077502,25.807291,1.9986,2.893,386.922,1.7315167,0.86575834
3.8008707,-2.0073229,25.893789,1.9986,2.89,397.391,1.7315167,0.86575834
3.7979843,-2.011395,25.969897,1.9986,2.887,407.844,1.7315167,0.86575834
3.7949848,-2.0059479,26.04626,1.9986,2.885,418.266,1.7315167,0.86575834
3.7919607,-2.0097566,26.123848,1.9986,2.882,428.766,1.7315167,0.86575834
3.7888977,-2.0068134,26.196099,1.9986,2.879,439.235,1.7315167,0.86575834
3.7864015,-2.0092288,26.278684,1.9986,2.876,449.703,1.7315167,0.86575834
3.7830951,-2.0068322,26.358496,1.9986,2.873,460.188,1.7315167,0.86575834
3.7802024,-2.0091743,26.433853,1.9986,2.871,470.625,1.7315167,0.86575834
3.7772048,-2.0080498,26.509186,1.9986,2.868,481.094,1.7315167,0.86575834
3.7741112,-2.0079173,26.577842,1.9986,2.865,491.563,1.7315167,0.86575834
3.7707192,-2.0080745,26.650889,1.9986,2.862,502.016,1.7315167,0.86575834
3.7680648,-2.0070676,26.71767,1.9986,2.859,512.469,1.7315167,0.86575834
3.7652355,-2.0106549,26.791228,1.9986,2.857,522.938,1.7315167,0.86575834
3.7620078,-2.0109541,26.847926,1.9986,2.853,533.36,1.7315167,0.86575834
3.758926,-2.0071657,26.913452,1.9986,2.851,543.813,1.7315167,0.86575834
3.7559587,-2.0069204,26.97141,1.9984,2.848,554.235,1.7315167,0.86575834
3.7530801,-2.009464,27.043278,1.9986,2.845,564.672,1.7315167,0.86575834
3.7498898,-2.0094548,27.084293,1.9986,2.843,575.125,1.7315167,0.86575834
3.7473987,-2.0117496,27.144696,1.9986,2.839,585.547,1.7315167,0.86575834
3.7443992,-2.007999,27.205945,1.9986,2.837,596.063,1.7315167,0.86575834
3.7414132,-2.0068698,27.234588,1.9986,2.834,606.563,1.7315167,0.86575834
3.7385357,-2.0078711,27.300499,1.9986,2.831,617.078,1.7315167,0.86575834
3.7359163,-2.0103974,27.336991,1.9986,2.829,627.61,1.7315167,0.86575834
3.7331246,-2.0092976,27.378352,1.9986,2.827,638.063,1.7315167,0.86575834
3.7303216,-2.0063126,27.419691,1.9986,2.823,648.594,1.7315167,0.86575834
3.727663,-2.0082678,27.451764,1.9986,2.821,659.047,1.7315167,0.86575834
3.7250133,-2.0092472,27.483495,1.9986,2.818,669.578,1.7315167,0.86575834
3.7226703,-2.0106647,27.507933,1.9986,2.816,680.016,1.7315167,0.86575834
3.7198139,-2.0083444,27.546559,1.9986,2.813,690.485,1.7315167,0.86575834
3.7172674,-2.0113495,27.569663,1.9986,2.811,700.985,1.7315167,0.86575834
3.7146761,-2.0080025,27.591114,1.9986,2.808,711.453,1.7315167,0.86575834
3.7119832,-2.0086058,27.610622,1.9986,2.805,721.906,1.7315167,0.86575834
3.7092341,-2.0064532,27.641403,1.9986,2.803,732.375,1.7315167,0.86575834
3.7071987,-2.0104538,27.65582,1.9986,2.801,742.828,1.7315167,0.86575834
3.70453,-2.0088659,27.678586,1.9986,2.798,753.313,1.7315167,0.86575834
3.7020707,-2.011764,27.699407,1.9986,2.796,763.766,1.7315167,0.86575834
3.6994129,-2.0113861,27.715213,1.9986,2.794,774.281,1.7315167,0.86575834
3.6971006,-2.0102852,27.733809,1.9986,2.791,784.766,1.7315167,0.86575834
3.694339,-2.0097936,27.761102,1.9986,2.789,795.188,1.7315167,0.86575834
3.6920057,-2.0090328,27.777471,1.9986,2.786,805.625,1.7315167,0.86575834
3.6895003,-2.0096399,27.805475,1.9986,2.783,816.125,1.7315167,0.86575834
3.686967,-2.0063706,27.834634,1.9986,2.781,826.563,1.7315167,0.86575834
3.6844069,-2.006293,27.852198,1.9986,2.779,836.969,1.7315167,0.86575834
3.6821511,-2.0087846,27.867633,1.9986,2.777,847.438,1.7315167,0.86575834
3.6793946,-2.0080427,27.895511,1.9986,2.774,857.969,1.7315167,0.86575834
3.6772886,-2.00988,27.913259,1.9986,2.772,868.438,1.7315167,0.86575834
3.6745562,-2.0112449,27.955795,1.9986,2.769,878.953,1.7315167,0.86575834
3.6724852,-2.0084928,27.969864,1.9986,2.767,889.438,1.7315167,0.86575834
3.6698718,-2.0072742,28.002118,1.9986,2.765,899.891,1.7315167,0.86575834
3.6674336,-2.0107184,28.016646,1.9986,2.762,910.328,1.7315167,0.86575834
3.6650859,-2.0082144,28.050742,1.9986,2.76,920.844,1.7315167,0.86575834
3.6626603,-2.0071639,28.069431,1.9986,2.757,931.328,1.7315167,0.86575834
3.6602617,-2.0112512,28.107735,1.9988,2.755,941.813,1.7315167,0.86575834
3.657881,-2.0081172,28.135142,1.9986,2.753,952.25,1.7315167,0.86575834
3.6555063,-2.0077282,28.16333,1.9986,2.751,962.672,1.7315167,0.86575834
3.6531309,-2.0093135,28.202868,1.9986,2.748,973.156,1.7315167,0.86575834
3.6508143,-2.0086479,28.236269,1.9986,2.745,983.656,1.7315167,0.86575834
3.6483494,-2.0103365,28.264279,1.9986,2.743,994.11,1.7315167,0.86575834
3.6464627,-2.009015,28.298113,1.9988,2.741,1004.594,1.7315167,0.86575834
3.6436933,-2.007292,28.341119,1.9986,2.739,1015.031,1.7315167,0.86575834
3.6415786,-2.0088647,28.360303,1.9986,2.737,1025.5,1.7315167,0.86575834
3.6394163,-2.0097401,28.38562,1.9986,2.735,1036,1.7315167,0.86575834
3.6371009,-2.0087981,28.427407,1.9986,2.733,1046.438,1.7315167,0.86575834
3.6346058,-2.0093594,28.456456,1.9986,2.731,1056.906,1.7315167,0.86575834
3.6323524,-2.0083827,28.490064,1.9986,2.728,1067.406,1.7315167,0.86575834
3.6303007,-2.0064573,28.526086,1.9986,2.726,1077.86,1.7315167,0.86575834
3.628039,-2.0073981,28.546913,1.9986,2.723,1088.313,1.7315167,0.86575834
3.6259284,-2.0066666,28.587262,1.9986,2.721,1098.813,1.7315167,0.86575834
3.6235927,-2.0063219,28.587298,1.9986,2.719,1109.313,1.7315167,0.86575834
3.6215436,-2.0059065,28.645674,1.9986,2.717,1119.735,1.7315167,0.86575834
3.6194381,-2.0079387,28.689459,1.9988,2.715,1130.203,1.7315167,0.86575834
3.6169432,-2.0080022,28.725098,1.9986,2.712,1140.719,1.7315167,0.86575834
3.6152098,-2.0067319,28.745817,1.9986,2.711,1151.235,1.7315167,0.86575834
3.61278,-2.009071,28.772152,1.9986,2.708,1161.672,1.7315167,0.86575834
3.6107372,-2.0077087,28.80904,1.9986,2.706,1172.11,1.7315167,0.86575834
3.6084522,-2.0097798,28.862574,1.9986,2.703,1182.578,1.7315167,0.86575834
3.6064772,-2.0107214,28.890798,1.9986,2.701,1193.031,1.7315167,0.86575834
3.6041399,-2.0087994,28.918369,1.9986,2.7,1203.516,1.7315167,0.86575834
3.6022064,-2.0050928,28.971231,1.9986,2.697,1213.969,1.7315167,0.86575834
3.600173,-2.0073461,29.001061,1.9986,2.696,1224.485,1.7315167,0.86575834
3.5978993,-2.0077463,29.022791,1.9986,2.693,1234.953,1.7315167,0.86575834
3.5962432,-2.0088291,29.053531,1.9986,2.691,1245.422,1.7315167,0.86575834
3.5940279,-2.0085861,29.105088,1.9986,2.689,1255.906,1.7315167,0.86575834
3.591991,-2.0099665,29.131997,1.9988,2.688,1266.36,1.7315167,0.86575834
3.5900568,-2.0099235,29.158997,1.9988,2.686,1276.781,1.7315167,0.86575834
3.5880181,-2.0082958,29.190397,1.9988,2.684,1287.266,1.7315167,0.86575834
3.5861284,-2.0082399,29.226219,1.9986,2.681,1297.781,1.7315167,0.86575834
3.5840909,-2.0080811,29.255779,1.9986,2.679,1308.219,1.7315167,0.86575834
3.5823067,-2.0093136,29.28762,1.9986,2.678,1318.703,1.7315167,0.86575834
3.5802997,-2.0076092,29.319601,1.9986,2.676,1329.156,1.7315167,0.86575834
3.5783936,-2.0083361,29.351244,1.9986,2.674,1339.625,1.7315167,0.86575834
3.5764705,-2.0070627,29.386405,1.9986,2.673,1350.094,1.7315167,0.86575834
3.5746279,-2.0094341,29.413285,1.9986,2.67,1360.563,1.7315167,0.86575834
3.5728079,-2.0059409,29.432985,1.9986,2.668,1371.063,1.7315167,0.86575834
3.5708455,-2.0065585,29.480452,1.9986,2.667,1381.547,1.7315167,0.86575834
3.5690368,-2.008601,29.508242,1.9986,2.665,1391.985,1.7315167,0.86575834
3.5671694,-2.00662,29.547052,1.9986,2.663,1402.485,1.7315167,0.86575834
3.5652679,-2.0101231,29.561179,1.9986,2.661,1412.969,1.7315167,0.86575834
3.5635331,-2.0067834,29.597364,1.9986,2.659,1423.422,1.7315167,0.86575834
3.561684,-2.0084416,29.623791,1.9986,2.658,1433.891,1.7315167,0.86575834
3.5600276,-2.0081622,29.657304,1.9986,2.656,1444.375,1.7315167,0.86575834
3.5583233,-2.0088163,29.67398,1.9986,2.654,1454.844,1.7315167,0.86575834
3.5565252,-2.0065431,29.719377,1.9986,2.652,1465.313,1.7315167,0.86575834
3.5546162,-2.0076338,29.752095,1.9986,2.65,1475.828,1.7315167,0.86575834
3.5530373,-2.0065612,29.771915,1.9986,2.648,1486.297,1.7315167,0.86575834
3.5512542,-2.0035454,29.808598,1.9986,2.647,1496.86,1.7315167,0.86575834
3.549363,-2.0073611,29.850428,1.9986,2.645,1507.36,1.7315167,0.86575834
3.5476636,-2.0087805,29.868595,1.9986,2.644,1517.813,1.7315167,0.86575834
3.5459959,-2.0086827,29.898537,1.9986,2.642,1528.297,1.7315167,0.86575834
3.5443362,-2.0085306,29.932566,1.9986,2.64,1538.75,1.7315167,0.86575834
3.5427797,-2.0077445,29.972054,1.9986,2.639,1549.203,1.7315167,0.86575834
3.5408235,-2.0064501,29.985028,1.9986,2.637,1559.703,1.7315167,0.86575834
3.5392496,-2.0105225,30.020555,1.9988,2.636,1570.203,1.7315167,0.86575834
3.5376834,-2.0094597,30.049772,1.9986,2.634,1580.672,1.7315167,0.86575834
3.535994,-2.0093149,30.079827,1.9986,2.631,1591.141,1.7315167,0.86575834
3.5342481,-2.0080664,30.111351,1.9988,2.63,1601.625,1.7315167,0.86575834
