Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step
3.6929601,-0.00436195136,26.3636142,0,0.003,0
3.35168974,-3.78815264,26.3701025,-3.783,1.506,2.468
3.81002009,1.51374973,26.3773106,1.5,4.548,5.14
3.82115006,1.50916492,26.3915608,1.5,4.564,7.687
3.82701164,1.51428527,26.4020826,1.5,4.575,10.156
3.83208974,1.51093278,26.4058457,1.5,4.58,12.625
3.83567784,1.50836125,26.4051685,1.5,4.58,15.093
3.83902967,1.51105735,26.4049047,1.5,4.586,17.578
3.84190001,1.50863612,26.402748,1.498,4.586,20.093
3.8443563,1.51184182,26.4019154,1.498,4.591,22.609
3.84668469,1.51047799,26.3946179,1.5,4.591,25.14
3.84920141,1.51337517,26.3951805,1.5,4.596,27.656
3.85093669,1.51215748,26.3910133,1.498,4.596,30.187
3.85346068,1.51066037,26.393243,1.498,4.602,32.703
3.85514198,1.51172629,26.3920905,1.5,4.602,35.234
3.85727144,1.50692898,26.3856541,1.5,4.602,37.75
3.85868615,1.51100687,26.3850759,1.498,4.607,40.218
3.86056293,1.50813126,26.3758366,1.498,4.607,42.703
3.86224466,1.50910824,26.3720142,1.5,4.607,45.172
3.86355687,1.51307514,26.377547,1.5,4.613,47.64
3.86526252,1.51063924,26.3705479,1.498,4.613,50.172
3.86658268,1.51026126,26.36384,1.498,4.613,52.687
3.86825456,1.51252549,26.3541362,1.5,4.613,55.25
3.87002058,1.51168103,26.3506519,1.498,4.618,57.703
3.8712707,1.50751082,26.352916,1.5,4.618,60.187
3.8725621,1.51185356,26.3453607,1.5,4.623,62.64
3.87362895,1.51065198,26.3499285,1.498,4.623,65.125
3.87531517,1.50978725,26.3455172,1.498,4.623,67.593
3.87664459,1.51117737,26.3425077,1.498,4.623,70.125
3.87784216,1.51279585,26.3389537,1.5,4.623,72.64
3.87940525,1.50836563,26.3320982,1.5,4.623,75.203
3.88034926,1.50880098,26.3333035,1.5,4.629,77.672
3.88178986,1.51039381,26.3301305,1.5,4.629,80.14
3.88289301,1.51332259,26.3199116,1.498,4.629,82.609
3.88445182,1.50799881,26.3192998,1.5,4.629,85.078
3.88555476,1.51029999,26.3178986,1.498,4.634,87.547
3.88664012,1.51012362,26.3139122,1.5,4.634,90.078
3.88788544,1.51161499,26.3188957,1.5,4.634,92.593
3.88893523,1.51171818,26.3172681,1.498,4.634,95.187
3.89025063,1.5084498,26.3041424,1.5,4.634,97.64
3.89135623,1.51352463,26.2992904,1.498,4.64,100.109
3.89248482,1.51339322,26.3027706,1.5,4.64,102.593
3.89370471,1.51109945,26.2987052,1.498,4.64,105.109
3.89436107,1.51219502,26.2904411,1.5,4.64,107.64
3.8958008,1.51225405,26.2904706,1.5,4.645,110.109
3.89673839,1.51354802,26.2897699,1.498,4.645,112.593
