Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step,Capacity,SOH
4.1889161,-0.0035225815,24.436716,-0.0006,0,0,1.8246196,0.91230978
4.1881828,-0.00059187714,24.431285,-0.0006,4.203,16.672,1.8246196,0.91230978
3.9865988,-2.0115204,24.479221,-1.9982,3.059,35.594,1.8246196,0.91230978
3.9652853,-2.0113422,24.629762,-1.9982,3.03,53.844,1.8246196,0.91230978
3.9495119,-2.0100082,24.800146,-1.9982,3.002,71.969,1.8246196,0.91230978
3.9364004,-2.011796,24.980733,-1.9982,2.987,90.188,1.8246196,0.91230978
3.9251733,-2.0126654,25.167545,-1.9982,2.975,108.359,1.8246196,0.91230978
3.9152535,-2.0110109,25.335875,-1.9982,2.965,126.547,1.8246196,0.91230978
3.9062271,-2.0135705,25.512085,-1.9982,2.957,144.719,1.8246196,0.91230978
3.8979267,-2.0129909,25.693607,-1.9982,2.949,162.906,1.8246196,0.91230978
3.8903544,-2.010495,25.875035,-1.9982,2.943,180.938,1.8246196,0.91230978
3.8831242,-2.0126697,26.045076,-1.9982,2.935,199.125,1.8246196,0.91230978
3.8763728,-2.0133882,26.225291,-1.9982,2.93,217.344,1.8246196,0.91230978
3.869588,-2.0125284,26.380748,-1.9982,2.924,235.547,1.8246196,0.91230978
3.8631087,-2.0143707,26.559898,-1.9982,2.918,253.766,1.8246196,0.91230978
3.8571937,-2.0097211,26.715505,-1.9982,2.911,272.016,1.8246196,0.91230978
3.8509051,-2.0137362,26.883413,-1.9982,2.906,290.234,1.8246196,0.91230978
3.8454866,-2.0112078,27.037268,-1.9982,2.899,308.391,1.8246196,0.91230978
3.8400654,-2.0122418,27.18973,-1.9982,2.894,326.625,1.8246196,0.91230978
3.8345482,-2.0142313,27.33798,-1.9982,2.889,344.813,1.8246196,0.91230978
3.8293095,-2.0122198,27.486623,-1.9982,2.885,362.984,1.8246196,0.91230978
3.8244813,-2.0114197,27.638609,-1.9982,2.88,381.078,1.8246196,0.91230978
3.819463,-2.011566,27.800874,-1.9982,2.875,399.25,1.8246196,0.91230978
3.8143427,-2.0117623,27.951816,-1.9982,2.871,417.344,1.8246196,0.91230978
3.8093263,-2.0122458,28.074679,-1.9982,2.866,435.5,1.8246196,0.91230978
3.8041258,-2.0135508,28.231734,-1.9982,2.861,453.766,1.8246196,0.91230978
3.7991239,-2.0113528,28.361646,-1.9982,2.856,471.969,1.8246196,0.91230978
3.7939081,-2.0149058,28.503708,-1.9982,2.852,490.297,1.8246196,0.91230978
3.7888787,-2.0133627,28.637761,-1.9982,2.847,508.422,1.8246196,0.91230978
3.7838997,-2.0133975,28.754134,-1.9982,2.842,526.656,1.8246196,0.91230978
3.778725,-2.0143842,28.874716,-1.9982,2.837,544.828,1.8246196,0.91230978
3.7739924,-2.0115771,28.984803,-1.9982,2.833,563.047,1.8246196,0.91230978
3.7689358,-2.0138459,29.092372,-1.9982,2.827,581.281,1.8246196,0.91230978
3.7644051,-2.0116763,29.183447,-1.9982,2.823,599.453,1.8246196,0.91230978
3.7595795,-2.0113434,29.280467,-1.9982,2.818,617.625,1.8246196,0.91230978
3.7549804,-2.0105163,29.355319,-1.9982,2.814,635.906,1.8246196,0.91230978
3.7506282,-2.0126153,29.443449,-1.9982,2.809,654.063,1.8246196,0.91230978
3.7466626,-2.0137429,29.512661,-1.9982,2.805,672.328,1.8246196,0.91230978
3.7421195,-2.012797,29.559623,-1.9982,2.801,690.531,1.8246196,0.91230978
3.7379638,-2.0107528,29.620757,-1.9982,2.797,708.797,1.8246196,0.91230978
3.7337869,-2.0133069,29.678012,-1.9982,2.794,727.078,1.8246196,0.91230978
3.7294968,-2.0121622,29.721702,-1.9984,2.79,745.344,1.8246196,0.91230978
3.7255514,-2.0114714,29.753331,-1.9982,2.785,763.531,1.8246196,0.91230978
3.7218312,-2.0120669,29.810573,-1.9982,2.781,781.828,1.8246196,0.91230978
3.7176322,-2.0139553,29.842441,-1.9982,2.778,800.156,1.8246196,0.91230978
3.7135842,-2.0121326,29.879816,-1.9982,2.774,818.406,1.8246196,0.91230978
3.7095027,-2.0145742,29.913599,-1.9982,2.77,836.719,1.8246196,0.91230978
3.7056795,-2.0115215,29.970625,-1.9982,2.766,855.063,1.8246196,0.91230978
3.7016028,-2.0136897,30.00953,-1.9982,2.763,873.359,1.8246196,0.91230978
3.697796,-2.0140465,30.0442,-1.9982,2.759,891.672,1.8246196,0.91230978
3.6939286,-2.0140958,30.087401,-1.9982,2.755,909.953,1.8246196,0.91230978
3.6898195,-2.0116321,30.135325,-1.9982,2.751,928.406,1.8246196,0.91230978
3.6860199,-2.0135614,30.182852,-1.9982,2.747,946.797,1.8246196,0.91230978
3.6821317,-2.0133609,30.219335,-1.9982,2.744,965.094,1.8246196,0.91230978
3.6784086,-2.0124318,30.272773,-1.9982,2.74,983.297,1.8246196,0.91230978
3.6746721,-2.0103137,30.307455,-1.9982,2.737,1001.641,1.8246196,0.91230978
3.6710113,-2.0135764,30.355144,-1.9982,2.733,1020.047,1.8246196,0.91230978
3.6672143,-2.0102666,30.416445,-1.9982,2.729,1038.406,1.8246196,0.91230978
3.6632855,-2.0133745,30.461523,-1.9982,2.725,1056.828,1.8246196,0.91230978
3.6597943,-2.011934,30.508982,-1.9982,2.722,1075.203,1.8246196,0.91230978
3.6563349,-2.0131439,30.550503,-1.9982,2.719,1093.594,1.8246196,0.91230978
3.6526457,-2.0131696,30.605623,-1.9982,2.715,1111.969,1.8246196,0.91230978
3.6490625,-2.0105057,30.671326,-1.9982,2.711,1130.391,1.8246196,0.91230978
3.6454192,-2.0126607,30.720089,-1.9982,2.708,1148.75,1.8246196,0.91230978
3.6418358,-2.0141195,30.775835,-1.9982,2.705,1167.141,1.8246196,0.91230978
3.6385164,-2.0124934,30.827785,-1.9982,2.701,1185.609,1.8246196,0.91230978
3.6352304,-2.0096825,30.883885,-1.9982,2.697,1203.969,1.8246196,0.91230978
3.6315606,-2.0110103,30.935331,-1.9982,2.694,1222.422,1.8246196,0.91230978
3.6282321,-2.0160714,30.987498,-1.9982,2.691,1240.75,1.8246196,0.91230978
3.6246645,-2.0140895,31.040871,-1.9982,2.687,1259.25,1.8246196,0.91230978
