Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step,Capacity,SOH
4.1881867,-0.00175403,24.734266,-0.0006,0,0,1.8353492,0.9176746
4.1871983,-0.001791648,24.7405,-0.0006,4.203,16.797,1.8353492,0.9176746
3.9799949,-2.0154791,24.79145,-1.9982,3.055,35.766,1.8353492,0.9176746
3.9581703,-2.014815,24.94296,-1.9982,3.023,53.891,1.8353492,0.9176746
3.9416733,-2.0118934,25.1164,-1.9982,3,72.094,1.8353492,0.9176746
3.9279377,-2.0128953,25.3107,-1.9982,2.981,90.187,1.8353492,0.9176746
3.9161924,-2.0104761,25.499418,-1.9982,2.97,108.328,1.8353492,0.9176746
3.9057271,-2.013804,25.681384,-1.9982,2.961,126.609,1.8353492,0.9176746
3.896626,-2.0120962,25.875329,-1.9982,2.953,144.828,1.8353492,0.9176746
3.8883627,-2.01395,26.054085,-1.9982,2.945,163.062,1.8353492,0.9176746
3.8804941,-2.0112442,26.250295,-1.9982,2.937,181.25,1.8353492,0.9176746
3.872969,-2.0134146,26.417357,-1.9982,2.931,199.406,1.8353492,0.9176746
3.8662107,-2.0108746,26.608407,-1.9982,2.924,217.453,1.8353492,0.9176746
3.8598397,-2.0109324,26.764107,-1.9982,2.918,235.516,1.8353492,0.9176746
3.8531059,-2.0141751,26.938372,-1.9982,2.911,253.797,1.8353492,0.9176746
3.8470599,-2.0129527,27.106313,-1.9982,2.906,271.937,1.8353492,0.9176746
3.8412016,-2.0137003,27.271887,-1.9982,2.9,290.109,1.8353492,0.9176746
3.8355361,-2.0131024,27.425828,-1.9982,2.895,308.25,1.8353492,0.9176746
3.8301987,-2.015202,27.580183,-1.9982,2.889,326.375,1.8353492,0.9176746
3.824894,-2.0141385,27.734589,-1.9982,2.885,344.562,1.8353492,0.9176746
3.8197419,-2.0107075,27.89458,-1.9982,2.88,362.719,1.8353492,0.9176746
3.8147592,-2.0097284,28.043426,-1.9982,2.875,380.844,1.8353492,0.9176746
3.8096419,-2.0107531,28.20259,-1.9982,2.87,399.078,1.8353492,0.9176746
3.8047238,-2.0148068,28.340717,-1.9982,2.865,417.234,1.8353492,0.9176746
3.7995995,-2.0144087,28.485955,-1.9982,2.861,435.437,1.8353492,0.9176746
3.7947575,-2.0128047,28.626248,-1.9982,2.856,453.641,1.8353492,0.9176746
3.7896573,-2.0127004,28.770071,-1.9982,2.851,471.844,1.8353492,0.9176746
