1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,y
4.19112045,3.9632938,3.9343525,3.91398095,3.89225615,3.8789586,3.86724785,3.85333705,3.8438419,3.83481315,3.82375505,3.8158967,3.8082671,3.79870735,3.7914489,3.7843438,3.77479085,3.7679375,3.7608704,3.7519212,3.7451689,3.7388524,3.7324827,3.7264429,3.71853,3.7127918,3.7066097,3.69872015,3.6930393,3.68719565,3.67964295,3.6740618,3.66851785,3.662998,3.65777925,3.650545,3.6455469,3.6402702,3.63337045,3.6285785,3.6232974,3.6167643,3.6118818,3.6070568,3.6021859,3.5973121,3.5913634,3.5866522,3.58196365,3.57580965,3.5712851,3.5671377,3.5625954,3.55833915,3.5525857,3.5485156,3.54445825,3.5402936,3.536294,3.5312061,3.5275475,3.52380945,3.51904085,3.5153862,3.5122118,3.5088048,3.50580135,3.5017138,3.4988403,3.4956361,3.492649,3.4898762,3.4868693,3.48408485,3.4801626,3.4772129,3.4743769,3.4711879,3.468158,3.46414775,3.4607657,3.4574527,3.4538211,3.45046705,3.4469118,3.44309905,3.43765065,3.4336708,3.42935875,3.4248441,3.4202518,3.4154578,3.410035,3.4043578,3.39818345,3.38943085,3.3820309,3.3734999,3.363787,3.35276485,3.3395909,3.3239215,3.3049414,3.28204655,3.2545165,3.22069065,3.1635924,3.1093306,3.0392214,2.9492055,2.866018,1.8564874
4.1893273,3.96804045,3.9400538,3.92020735,3.89926735,3.8861314,3.8743993,3.8603945,3.8507621,3.84173945,3.830387,3.8225163,3.81490095,3.8048258,3.7973579,3.7901293,3.7802813,3.7727891,3.7657665,3.7566404,3.7500203,3.7434517,3.7371676,3.7310804,3.7229599,3.7171097,3.71121065,3.7033291,3.6974716,3.6917345,3.68404525,3.6782143,3.67280705,3.6674257,3.662013,3.6549003,3.6496662,3.6445906,3.6377403,3.6326729,3.6277021,3.62100465,3.6161328,3.6113209,3.606263,3.6016586,3.59545875,3.5908462,3.58620615,3.58021245,3.5758298,3.5712803,3.5668329,3.56253995,3.5569322,3.552914,3.5487656,3.5446899,3.5407514,3.5357367,3.5318975,3.5284262,3.5250317,3.52133655,3.51697925,3.5138871,3.5106077,3.5073541,3.5045991,3.5008404,3.4979532,3.49510765,3.4921787,3.4896315,3.48580195,3.48283,3.4799372,3.4770033,3.4742028,3.4711195,3.4680057,3.4636532,3.4603226,3.4568716,3.4532839,3.4497073,3.4445222,3.4407897,3.4362068,3.4317584,3.42686575,3.4218779,3.41645005,3.4108661,3.40473645,3.3956243,3.3881035,3.3793169,3.3695649,3.35790605,3.3442355,3.32745395,3.3072116,3.28163485,3.2506054,3.21221145,3.1656706,3.1056325,2.9978163,2.8782908,2.8782908,1.8463272
4.1876925,3.9690826,3.9416733,3.92206505,3.90117655,3.8883627,3.87673155,3.8630252,3.8531059,3.84413075,3.8328674,3.824894,3.81725055,3.80718285,3.7995995,3.7922074,3.78233335,3.7749407,3.76763385,3.7585,3.7516454,3.7452561,3.7388788,3.7327762,3.72480895,3.7189325,3.71273535,3.7048618,3.6990983,3.6932424,3.6854923,3.679766,3.6743398,3.6689496,3.6635374,3.6563404,3.6510516,3.64573865,3.6389986,3.6339169,3.6287403,3.6222801,3.6171453,3.61239125,3.607586,3.6027427,3.59643115,3.5918428,3.58706805,3.5811392,3.5768218,3.57229425,3.5679942,3.5635044,3.55791145,3.5538662,3.5497927,3.545681,3.5419052,3.53696285,3.5332336,3.5296229,3.5260522,3.5226353,3.51828135,3.5148052,3.5118378,3.5088885,3.5060064,3.5020937,3.4992425,3.4965222,3.4938424,3.4907855,3.4870721,3.4841509,3.4815868,3.4784668,3.47544515,3.4723708,3.4693939,3.4649117,3.4617588,3.45816315,3.4546201,3.45083775,3.4470245,3.44289895,3.4372709,3.4326843,3.42775805,3.4227125,3.4171213,3.4113059,3.40502695,3.39586835,3.3877973,3.37868195,3.3685293,3.35615965,3.341743,3.3234025,3.3015459,3.27413,3.2407606,3.19828,3.1468134,3.0799949,2.9954158,2.8639202,2.8098023,1.8353492
4.18810665,3.97081405,3.9436637,3.9241121,3.9036195,3.8904897,3.8791229,3.8652369,3.8554849,3.84630625,3.83502745,3.8272039,3.81933635,3.8094011,3.8018504,3.79424155,3.78406895,3.7769922,3.76947285,3.7601434,3.7533239,3.7470483,3.7408019,3.73444895,3.7264671,3.7203226,3.7142702,3.70637435,3.7009163,3.69483945,3.68694875,3.6812705,3.6758128,3.6704053,3.6647713,3.6577277,3.6522475,3.64703665,3.64022525,3.634909,3.6299934,3.6231417,3.6184356,3.61347895,3.608431,3.60384505,3.5974061,3.5929213,3.58820555,3.5821242,3.5777018,3.57312485,3.568761,3.56451375,3.55881215,3.5546934,3.55077115,3.5464929,3.54276525,3.53773705,3.5340806,3.5303677,3.5269046,3.52347935,3.5190861,3.5158325,3.512665,3.5097179,3.50661365,3.5030877,3.5000255,3.49718725,3.4945507,3.4917805,3.48782035,3.4849279,3.48218245,3.479405,3.47634335,3.4731571,3.4700283,3.46580075,3.4621856,3.45888045,3.4551822,3.45152395,3.4475979,3.44347045,3.4376485,3.433168,3.4281146,3.4230383,3.41758225,3.4116211,3.40518105,3.3982536,3.39050035,3.3785146,3.3677882,3.35519495,3.3400959,3.3214214,3.298972,3.27036825,3.2361807,3.1923202,3.1391902,3.0691158,2.9787425,2.8939508,2.8939508,1.8352625
4.1878416,3.97128715,3.9442811,3.92503635,3.90450655,3.8913542,3.88004505,3.8660688,3.8566125,3.8473328,3.8360968,3.8278649,3.8204751,3.81026245,3.8027843,3.7951775,3.7850262,3.7773689,3.770355,3.76110765,3.7543892,3.747571,3.7413392,3.73511345,3.72695555,3.7208033,3.7148456,3.70704645,3.7013771,3.69530065,3.68751635,3.6821551,3.67644615,3.6707279,3.6652557,3.65819755,3.6528039,3.647575,3.64052775,3.6354548,3.6304611,3.62356855,3.618776,3.61379385,3.6089924,3.60417665,3.5977549,3.5931739,3.5885278,3.5824852,3.5778557,3.57354655,3.5691642,3.56491745,3.5591857,3.5551338,3.55110565,3.5472273,3.54322875,3.53806245,3.5345755,3.5308496,3.5274843,3.523945,3.5196312,3.5163703,3.5132138,3.5103833,3.50726835,3.50351585,3.500568,3.4977477,3.4948558,3.4921572,3.48850035,3.4855888,3.48268785,3.4798183,3.4767406,3.4726414,3.4692816,3.4662079,3.4627792,3.45936625,3.4559308,3.4520429,3.4467449,3.4426044,3.4381892,3.4336425,3.42863405,3.4236232,3.4178029,3.4120047,3.40534795,3.39589215,3.3877636,3.3783475,3.3676139,3.3545637,3.3397043,3.3206182,3.2974948,3.26838515,3.2331296,3.18805845,3.11039285,3.0335043,2.92079045,2.8754467,2.8754467,1.8346455
4.1883775,3.97267895,3.945806,3.9267193,3.9064113,3.8935301,3.8820647,3.8682037,3.8586694,3.8493745,3.8381416,3.8301174,3.82254995,3.8125188,3.8048598,3.79730405,3.78730565,3.7795712,3.77235805,3.762964,3.7562495,3.7496631,3.7430119,3.73692175,3.7286409,3.7226906,3.71687915,3.70889195,3.7029484,3.697182,3.68929265,3.6837112,3.6778581,3.67060765,3.6651519,3.6597343,3.6545045,3.6491388,3.64216255,3.6369693,3.63201045,3.62518195,3.620292,3.6150944,3.6103085,3.60543365,3.5990717,3.594508,3.5897818,3.583559,3.5790926,3.5747241,3.5704868,3.56618385,3.5604575,3.5563161,3.55230955,3.5484528,3.544498,3.53919,3.535841,3.53200175,3.5284761,3.5250364,3.5208082,3.5176003,3.5145414,3.5114055,3.50853525,3.5046084,3.5016132,3.4989242,3.4960395,3.49334775,3.489506,3.4867967,3.48369955,3.4808037,3.47791895,3.4746329,3.47171315,3.4674703,3.4639784,3.46051525,3.4570784,3.45340385,3.4494898,3.4453369,3.43956275,3.4350106,3.430153,3.4246505,3.4194257,3.413752,3.40706995,3.39754345,3.3894009,3.3800281,3.3694757,3.35629145,3.34098,3.32190515,3.2990361,3.26947205,3.2339444,3.1887477,3.133235,3.05950645,2.9158007,2.8691132,2.8691132,1.8356617
4.18805665,3.97389785,3.9470431,3.92811105,3.9079182,3.895313,3.88391205,3.86999875,3.8602515,3.85121325,3.8400458,3.8319047,3.82418415,3.81421905,3.8066757,3.79910045,3.78907075,3.7815279,3.7740799,3.76459085,3.7577719,3.75100995,3.7446559,3.73843165,3.7302121,3.7240847,3.71818875,3.7101923,3.7043903,3.6984129,3.69079655,3.6849011,3.67937695,3.6719939,3.6664278,3.6610431,3.6556278,3.65028105,3.64325485,3.6380388,3.6330447,3.62633845,3.6212838,3.61646015,3.6113061,3.60655065,3.60015665,3.5955025,3.5909094,3.58483845,3.5801814,3.57581395,3.5714757,3.56719735,3.5615621,3.5575067,3.55331165,3.5493902,3.54534075,3.54035835,3.5368648,3.5331036,3.52854295,3.5249396,3.52171975,3.518575,3.515412,3.5114787,3.5082903,3.50555685,3.5026551,3.49988395,3.4971993,3.4942831,3.4907197,3.4878165,3.4848846,3.482413,3.47906355,3.47500995,3.471953,3.4684752,3.4655224,3.4619422,3.4584227,3.45452615,3.44917015,3.4453839,3.440823,3.4362459,3.4312558,3.4264073,3.42066325,3.4147625,3.40803455,3.3987969,3.390591,3.3811657,3.370478,3.3574485,3.3419825,3.3228135,3.2995139,3.2701341,3.2342233,3.1883149,3.10834445,3.0281788,2.9079397,2.8591928,2.8591928,1.8351461
4.18847565,3.97540065,3.9490309,3.9302805,3.910295,3.8977201,3.88610975,3.87236735,3.8626507,3.853384,3.8419951,3.8341986,3.82642325,3.8161536,3.8088812,3.80110455,3.79081785,3.7832093,3.77593495,3.7662215,3.7592565,3.7526205,3.7461888,3.7399278,3.7315871,3.7255122,3.71957925,3.7115414,3.7056612,3.6996757,3.6920318,3.6861647,3.68034245,3.6747985,3.6694454,3.66196705,3.656515,3.6512702,3.64417475,3.6389307,3.63378535,3.6285568,3.62349605,3.6169116,3.6121372,3.60724135,3.60075205,3.596069,3.5913293,3.5868405,3.5820523,3.5763695,3.5719292,3.5676786,3.56192495,3.5577935,3.55370395,3.5499259,3.54579015,3.54084525,3.5370291,3.53356595,3.5299318,3.52663795,3.52210985,3.5188696,3.51580725,3.5126164,3.50988945,3.5059752,3.5033292,3.500359,3.4975559,3.49463285,3.4908157,3.4882741,3.485091,3.4825456,3.4793572,3.4761348,3.47313495,3.4688525,3.4657009,3.46209075,3.4586341,3.4548148,3.4509922,3.44687795,3.4410701,3.4364479,3.43154035,3.4263301,3.420517,3.4147844,3.40806135,3.400999,3.39294665,3.3806515,3.3696441,3.35627445,3.3406626,3.32079225,3.2968226,3.26638545,3.2291823,3.1818616,3.1228854,3.04406645,2.937261,2.829166,2.829166,1.8257568
4.18823875,3.97573825,3.9492789,3.9303131,3.91044685,3.8974471,3.88615975,3.87268825,3.8627386,3.85373395,3.84226465,3.8343463,3.82666495,3.81662015,3.808985,3.80126665,3.79117295,3.7835626,3.776043,3.7664907,3.7595919,3.7528446,3.7463412,3.73985545,3.7317215,3.7256331,3.71956215,3.7116622,3.7057379,3.69969025,3.69193235,3.6860952,3.68023235,3.6747945,3.6692212,3.66185575,3.6562995,3.6512942,3.64402695,3.638825,3.63372965,3.62707375,3.6219823,3.6170244,3.6118925,3.60710945,3.6007542,3.5958926,3.59128015,3.5853859,3.5804755,3.5762782,3.5720325,3.567619,3.56187205,3.5576691,3.5536355,3.5493771,3.5457436,3.54075405,3.5371821,3.5334532,3.530019,3.5265615,3.52212805,3.5187805,3.5158711,3.5127076,3.50983,3.5059195,3.5031351,3.5003498,3.4973202,3.49462395,3.49082465,3.4880702,3.48515205,3.4822241,3.4791291,3.4759924,3.47295375,3.4685559,3.4653773,3.46185985,3.4582312,3.45444495,3.4507204,3.44652245,3.44066885,3.4358677,3.4309397,3.4257583,3.4201156,3.414134,3.4075764,3.39767825,3.3892228,3.37952945,3.3679451,3.35439095,3.3382298,3.31766665,3.2927911,3.26113415,3.2225565,3.173105,3.1112022,3.0277337,2.9126922,2.7927752,2.7927752,1.8247739
4.18895765,3.9762691,3.9431711,3.9253988,3.9110129,3.8984861,3.8870484,3.87315995,3.8634151,3.85439205,3.8430055,3.8351555,3.8272047,3.8171016,3.8095988,3.80191275,3.79178155,3.7842408,3.77670065,3.76699895,3.7601004,3.75338835,3.7468393,3.74047835,3.7321309,3.7258544,3.71981455,3.71206075,3.7059945,3.69995995,3.69217385,3.6864824,3.6806358,3.6750001,3.66961765,3.66214445,3.6568497,3.6512592,3.64421935,3.6388764,3.633772,3.6269644,3.6218437,3.61694075,3.6119074,3.6071496,3.6005352,3.5960635,3.5912392,3.58505205,3.5804702,3.5762431,3.5720482,3.5674727,3.5619177,3.5576903,3.5535831,3.5494617,3.54554605,3.54067435,3.5372127,3.53329525,3.5298752,3.52645725,3.5220079,3.5187972,3.51567775,3.5126722,3.50976035,3.5056851,3.5030517,3.5000546,3.497488,3.49436515,3.49071765,3.4876576,3.4848887,3.4820756,3.47912555,3.4759443,3.47292835,3.4684968,3.4649624,3.4616661,3.4579398,3.4543215,3.4503019,3.44610605,3.4402006,3.4353988,3.4303834,3.4253027,3.4196642,3.413612,3.40691225,3.39706545,3.3883277,3.37847245,3.3669873,3.35301415,3.336399,3.3155639,3.2900568,3.2575117,3.2176825,3.16636225,3.1027038,3.01562385,2.8922117,2.8922117,2.8922117,1.8246133
